Designator,Mid X,Mid Y,Rotation,Layer
H1,51.15,-60.9,0.0,top
H2,132.85,-60.9,0.0,top
H3,51.15,-89.1,0.0,top
H4,132.85,-89.1,0.0,top
H5,51.15,-100.9,0.0,top
H6,132.85,-100.9,0.0,top
H7,51.15,-129.1,0.0,top
H8,132.85,-129.1,0.0,top
TP1,126.3,-81.0,0.0,top
